name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,trans_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol,caffeine_milli,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b7_micro,vitamin_b9,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k_micro,manganese,magnesium,potassium,calcium,copper,zinc,sodium,iron,phosphorus,selenium,iodine,package_weight,serving_weight
Bolo pronto coco,,,5.7,52.3,11.3,333,4.9,1.08,3,1.8,0.06,1.71,,,1.1,0.063,,1e-11,0.00015,6e-05,1e-08,,1e-08,,,,1e-08,,,,0.0004,0.016,0.143,0.057,9e-05,0.0007,0.19,0.0008,0.303,,,,
Bolo pronto milho,,,4.8,45.1,12.4,311,4.5,1.99,3.9,1.5,0.08,1.38,,,0.7,0.082,,5.7e-05,0.00011,5e-05,1e-08,,1e-08,,,,1e-08,,,,0.00011,0.01,0.118,0.083,4e-05,0.0004,0.134,0.0007,0.128,,,,
Canjica branca crua,,,7.2,78.1,1,358,0.3,,0.2,0.4,0.01,0.38,,,5.5,,,,1e-08,1e-08,1e-08,,1e-08,,,,1e-08,,,,9e-05,0.012,0.093,0.002,5e-05,0.0004,0.001,0.0003,0.048,,,,
Canjica com leite integral,,,2.4,23.6,1.2,112,0.6,0.02,0.4,0.1,1e-05,0.15,,,1.2,0.001,,1e-11,1e-08,4e-05,1e-08,,1e-08,,,,1e-08,,,,2e-05,0.006,0.07,0.043,3e-05,0.0003,0.028,0.0001,0.041,,,,
Cereais milho flocos com sal,,,7.3,80.8,1.6,370,0.5,,0.6,0.9,0.03,0.89,,,5.3,,,,0.00012,1e-08,1e-08,,6e-05,,,,1e-08,,,,1e-08,0.02,0.069,0.002,1e-08,0.0006,0.272,0.0005,0.091,,,,
Cereais milho flocos sem sal,,,6.9,80.4,1.2,363,0.3,,0.3,0.6,0.02,0.6,,,1.8,,,,5e-05,1e-08,1e-08,,4e-05,,,,1e-08,,,,1e-08,0.017,0.029,0.002,0.00024,0.0003,0.031,0.0017,0.058,,,,
Cereais mingau milho infantil,,,6.4,87.3,1.1,394,0.3,2e-05,0.3,0.5,0.01,0.45,,,3.2,,,2.1e-05,0.00372,0.00047,0.02416,,0.00508,,,,0.1094,,,,0.00011,0.016,0.082,0.219,4e-05,0.0004,0.399,0.003,0.169,,,,
Cereais mistura para vitamina trigo cevada e aveia,,,8.9,81.6,2.1,381,0.5,0.01,0.4,1,0.06,0.93,,,5,,,1e-11,0.00076,0.00088,0.00746,,0.00149,,,,0.0131,,,,0.00228,0.072,0.244,0.584,0.00021,0.002,1.163,0.0126,0.515,,,,
Cereal matinal milho,,,7.2,83.8,1,365,0.4,1e-05,0.3,0.3,2e-05,0.31,,,4.1,,,1.5e-05,0.00076,0.00102,0.01104,,0.00225,,,,0.0173,,,,6e-05,0.011,0.083,0.143,6e-05,0.0076,0.655,0.0031,0.101,,,,
Cereal matinal milho açúcar,,,4.7,88.8,0.7,377,0.2,1e-05,0.3,0.3,2e-05,0.33,,,2.1,,,1.5e-05,0.00073,0.00111,0.01013,,0.00079,,,,0.0146,,,,0.00013,0.008,0.052,0.056,4e-05,0.0085,0.405,0.0039,0.043,,,,
Creme de arroz pó,,,7,83.9,1.2,386,0.4,,0.3,0.4,0.01,0.43,,,1.1,,,,0.00022,1e-08,1e-08,,5e-05,,,,1e-08,,,,0.00124,0.051,0.115,0.007,4e-05,0.0019,0.001,0.0006,0.153,,,,
Creme de milho pó,,,4.8,86.1,1.6,333,0.3,,0.5,0.8,0.02,0.75,,,3.7,,,,0.00074,1e-08,1e-08,,0.00205,,,,0.0963,,,,0.0002,0.03,0.166,0.323,4e-05,0.0008,0.594,0.0043,0.303,,,,
Curau milho verde,,,2.4,13.9,1.6,78,0.8,0.04,0.5,0.2,1e-05,0.17,,,0.5,0.005,,1.6e-05,4e-05,7e-05,1e-08,,1e-08,,,,1e-08,,,,6e-05,0.016,0.162,0.053,3e-05,0.0004,0.021,0.0004,0.075,,,,
Curau milho verde mistura para,,,2.2,79.8,13.4,402,3,3.44,4.9,1.4,0.03,1.38,,,2.5,,,,0.00013,1e-08,1e-08,,1e-08,,,,1e-08,,,,5e-05,0.009,0.055,0.031,3e-05,0.0002,0.223,0.0009,0.045,,,,
Farinha de arroz enriquecida,,,1.3,85.5,0.3,363,0.2,2e-05,0.1,0.2,0.01,0.17,,,0.6,,,,0.00323,1e-08,0.02442,,0.00347,,,,0.1736,,,,4e-05,0.004,0.013,0.001,1e-08,0.0085,0.017,0.0314,0.036,,,,
Farinha de centeio integral,,,12.5,73.3,1.8,336,0.3,1e-05,0.3,0.8,,0.73,,,15.5,,,,0.00029,3e-05,1e-08,,8e-05,,,,1e-08,,,,0.00386,0.12,0.334,0.034,0.00056,0.0027,0.041,0.0047,0.34,,,,
Farinha de milho amarela,,,7.2,79.1,1.5,351,0.4,,0.4,0.6,0.02,0.63,,,5.5,,,9e-06,0.00025,1e-08,1e-08,,0.00025,,,,1e-08,,,,1e-08,0.031,0.058,0.001,0.00027,0.0006,0.045,0.0023,0.084,,,,
Farinha de rosca,,,11.4,75.8,1.5,371,0.6,0.03,0.4,0.8,0.05,0.74,,,4.8,,,,0.00025,1e-08,1e-08,,9e-05,,,,1e-08,,,,0.00162,0.057,0.212,0.035,0.00026,0.0017,0.333,0.0067,0.195,,,,
Farinha de trigo,,,9.8,75.1,1.4,360,0.3,1e-05,0.2,0.4,0.01002,0.43,,,2.3,,,,0.00031,1e-08,0.00089,,1e-08,,,,1e-08,,,,0.00046,0.031,0.151,0.018,0.00015,0.0008,0.001,0.001,0.115,,,,
Farinha láctea de cereais,,,11.9,77.8,5.8,415,3.3,0.15,1.4,0.6,0.03,0.59,,,1.9,0.011,,0.000492,0.00143,0.00113,0.0095,,0.00114,,,,0.0243,,,,0.00149,0.058,0.366,0.196,0.00019,0.0017,0.125,0.0087,0.296,,,,
Lasanha massa fresca cozida,,,5.8,32.5,1.2,164,0.6,,0.4,0.1,,0.1,,,1.6,,,,4e-05,1e-08,0.00396,,1e-08,,,,,,,,0.0002,0.004,0.054,0.01,7e-05,0.0004,0.207,0.0012,0.042,,,,
Lasanha massa fresca crua,,,7,45.1,1.3,220,0.5,,0.4,0.4,0.01,0.38,,,1.6,,,,8e-05,1e-08,1e-08,,1e-08,,,,,,,,0.00034,0.013,0.137,0.017,0.0001,0.0008,0.667,0.0019,0.082,,,,
Macarrão instantâneo,,,8.8,62.4,17.2,436,,,,,,,,,5.6,,,,0.00118,4e-05,0.00937,,0.00053,,,,1e-08,,,,0.00025,0.019,0.148,0.018,0.0001,0.0005,1.516,0.0008,0.112,,,,
Macarrão trigo cru,,,10,77.9,1.3,371,,,,,,,,,2.9,,,,0.00018,2e-05,0.00357,,1e-08,,,,1e-08,,,,0.00053,0.028,0.147,0.017,0.00015,0.0008,0.007,0.0009,0.1,,,,
Macarrão trigo cru com ovos,,,10.3,76.6,2,371,0.5,1e-05,0.4,0.8,0.03,0.73,,,2.3,0.018,,1e-11,0.00011,5e-05,0.00437,,3e-05,,,,1e-08,,,,0.0004,1e-08,0.134,0.019,0.00014,0.0008,0.015,0.0009,0.118,,,,
Milho amido cru,,,0.6,87.1,1e-05,361,,,,,,,,,0.7,,,,1e-08,1e-08,1e-08,,1e-08,,,,1e-08,,,,2e-05,0.003,0.009,0.001,2e-05,0.0001,0.008,0.0001,0.013,,,,
Milho fubá cru,,,7.2,78.9,1.9,353,0.4,,0.9,1.3,0.03001,1.29,,,4.7,,,1.3e-05,0.00025,1e-08,0.00075,,1e-08,,,,1e-08,,,,0.00034,0.041,0.168,0.003,8e-05,0.0011,1e-08,0.0009,0.108,,,,
Milho verde cru,,,6.6,28.6,0.6,138,0.2,,0.2,0.6,0.02,0.53,,,3.9,,,1.6e-05,0.0003,1e-08,1e-08,,4e-05,,,,1e-08,,,,0.00012,0.033,0.185,0.002,5e-05,0.0005,0.001,0.0004,0.113,,,,
Milho verde enlatado drenado,,,3.2,17.1,2.4,98,0.6,,0.8,0.9,0.03,0.88,,,4.6,,,2.4e-05,1e-08,5e-05,0.00374,,1e-08,,,,0.0017,,,,9e-05,0.02,0.162,0.002,5e-05,0.0005,0.26,0.0006,0.061,,,,
Mingau tradicional pó,,,0.6,89.3,0.4,373,0.1,,1e-05,0.1,0.01,0.13,,,0.9,,,0.001533,0.00341,1e-08,0.01939,,0.00311,,,,1e-08,,,,1e-08,0.004,1e-08,0.522,1e-08,0.0152,0.015,0.042,0.273,,,,
Pamonha barra para cozimento pré-cozida,,,2.6,30.7,4.8,171,0.5,0.11,0.7,1.4,0.09,1.32,,,2.4,,,,1e-08,1e-08,1e-08,,1e-08,,,,1e-08,,,,0.00012,0.015,0.125,0.004,3e-05,0.0004,0.132,0.0004,0.055,,,,
Pão aveia forma,,,12.4,59.6,5.7,343,1.1,0.12,1,1.6,0.59,1.06,,,6,1e-08,,1e-11,9e-05,3e-05,1e-08,,8e-05,,,,1e-08,,,,0.00108,0.057,0.21,0.109,0.00014,0.0017,0.606,0.0047,0.182,,,,
Pão de soja,,,11.3,56.5,3.6,309,0.7,0.01,0.6,1.6,0.14,1.41,,,5.7,,,,7e-05,4e-05,1e-08,,0.00079,,,,1e-08,,,,0.00057,0.048,0.296,0.09,0.00016,0.0015,0.663,0.0033,0.153,,,,
Pão glúten forma,,,12,44.1,2.7,253,0.5,0.16,0.6,0.7,0.04,0.69,,,2.5,,,,4e-05,3e-05,1e-08,,1e-08,,,,1e-08,,,,0.00051,0.024,0.065,0.156,6e-05,0.0013,0.022,0.0057,0.105,,,,
Pão milho forma,,,8.3,56.4,3.1,292,0.6,0.07,0.6,1,0.03,0.98,,,4.3,0.006,,1e-11,8e-05,1e-08,1e-08,,8e-05,,,,1e-08,,,,0.00037,0.029,0.089,0.078,0.0001,0.0008,0.507,0.003,0.11,,,,
Pão trigo forma integral,,,9.4,49.9,3.7,253,0.7,0.28,0.8,1.1,0.08,0.98,,,6.9,,,,8e-05,4e-05,1e-08,,0.00015,,,,1e-08,,,,0.00162,0.06,0.163,0.132,0.00015,0.0016,0.506,0.003,0.193,,,,
Pão trigo francês,,,8,58.6,3.1,300,1,0.37,0.9,0.7,0.04,0.7,,,2.3,,,3e-06,0.00039,0.00067,0.00234,,0.0006,,,,,,,,0.00046,0.025,0.142,0.016,0.00013,0.0008,0.648,0.001,0.095,,,,
Pão trigo sovado,,,8.4,61.5,2.8,311,0.8,0.06,0.7,0.7,0.04,0.68,,,2.4,0.017,,1e-11,8e-05,4e-05,1e-08,,0.00015,,,,1e-08,,,,0.00031,0.022,0.091,0.052,1e-08,0.0027,0.431,0.0023,0.101,,,,
Pastel de carne cru,,,10.7,42,8.8,289,3.7,0.59,2.9,1.1,0.04,1.06,,,1,0.018,,1e-11,6e-05,3e-05,0.00158,,1e-08,,,,1e-08,,,,0.00034,0.018,0.166,0.017,0.00011,0.0017,1.309,0.002,0.117,,,,
Pastel de carne frito,,,10.1,43.8,20.1,388,4.8,0.69,5.9,7.6,0.59,6.99,,,1,0.025,,1e-11,6e-05,5e-05,0.00183,,1e-08,,,,,,,,0.00022,0.014,0.156,0.013,0.00012,0.0012,1.04,0.0025,0.09,,,,
Pastel de queijo cru,,,9.9,45.9,9.6,308,,,,,,,,,1.1,0.014,,1e-11,7e-05,3e-05,1e-08,,1e-08,,,,1e-08,,,,0.00024,0.016,0.103,0.155,0.0001,0.001,0.985,0.001,0.168,,,,
